benchmark,seed,project_id,base_model_id,model_id,solution,nmse_test,nmse_test_noiseless,success
Nguyen-7,10,63aa4c8b7decfb212e9b17cc,63aa523de698aefb42914f29,63aa5442aeaf709d1f7c297c,log(1 + x1 + x1^2 + x1^3),1.725327204385881e-32,1.725327204385881e-32,True
Nguyen-2,10,63aa4c8bdaeddbbfe09b1819,63aa51f1e30795689f7c2cb5,63aa540ce698aefb42914f97,x1*cos(sin(x1) - sin(x1*cos(sin(x1)))) + x1^2*exp(x1)/cos(cos(x1)*log(cos(x1)) + x1^2*cos(x1*sin(x1)) - sin(x1)),3.08329386573337e-05,3.08329386573337e-05,False
Nguyen-9,10,63aa4d30fd56d272529b1acf,63aa5255094ab2781b065dd5,63aa5496094ab2781b065f9e,sin(x2^2) + sin(x1 + x2*cos(x2) - x2*cos(x2)),6.44256362556073e-32,6.44256362556073e-32,True
Nguyen-11,10,63aa4d4fafc983806c9b1976,63aa52798991ac9fbc7c2bc8,63aa549c87d04b5d107c2acf,exp(x2*log(x1)),6.142675590701004e-32,6.142675590701004e-32,True
Nguyen-10,10,63aa4d4fb51dc8ac0a3f71f3,63aa5268d0a1d299a6065dfe,63aa5497d0a1d299a6065e87,x1*cos(x2) + sin(x1) + sin(x1*cos(x2)) - x1,8.311867576980214e-05,8.311867576980214e-05,False
Nguyen-1,11,63aa4c8bdaeddbbfe09b1818,63aa51ebe30795689f7c2ca4,63aa54a3aeaf709d1f7c29ba,x1 + x1^2 + x1^3,5.208995996872335e-33,5.208995996872335e-33,True
Nguyen-2,11,63aa4c8bdaeddbbfe09b1819,63aa51f1e30795689f7c2cb5,63aa54b319ac74bd0a915154,x1 + x1^2 + x1^3 + x1^4 + x1^6 - x1^6,2.892219201253982e-32,2.892219201253982e-32,True
Nguyen-12,10,63aa4d6440145dcdfd3f7473,63aa4e87e30795689f7c2a37,63aa549ee698aefb42914fc7,x2/(sin(x1)*cos(x1)*cos(x2^2*cos(sin(x1)))*cos(x1*cos(x2*exp(x2) + x1^2*exp(x1))) - exp(sin(sin(sin(sin(x2)))))),0.024998983359365578,0.024998983359365578,False
Nguyen-3,11,63aa4c8b7decfb212e9b17cd,63aa51fa19ac74bd0a914f14,63aa54b58991ac9fbc7c2ca5,x1 + x1^2 + x1^3 + x1^4 + x1^5 + x1^3*sin(x1^3) + x1^4*sin(x1^3) - x1^3*sin(x1^3) - x1^4*sin(x1^3),2.751184560243524e-32,2.751184560243524e-32,True
Nguyen-4,11,63aa4c8b9aa9915ada3f7220,63aa521a19ac74bd0a914f2e,63aa54b8aeaf709d1f7c29d0,x1*sin(x1)*exp(x1 + x1*sin(x1)) + x1*cos(x1*sin(x1)*sin(x1/sin(x1^2*cos(x1^2 - sin(x1))))),0.00023309455803336915,0.00023309455803336915,False
